sample_id	latitude	longitude
SAMN05991703	22.75	-158.0
SAMN05991662	22.75	-158.0
SAMN05991689	22.75	-158.0
SAMN05991724	22.75	-158.0
SAMN05991669	22.75	-158.0
SAMN10839330	37.3536	-0.286194
SAMEA2622822	-8.90305	-142.59
SAMEA2622197	-5.26905	-85.2336
SAMEA2622429	-1.85465	-84.6212
SAMN10839294	37.3536	-0.286194
SAMEA2619667	35.7491	14.2948
SAMEA2619782	39.3874	19.4082
SAMEA2620855	-35.1908	26.29
SAMEA2620929	-34.9218	17.9744
SAMEA2620950	-34.8689	18.0798
SAMEA2621013	-31.0264	4.68135
SAMEA2621037	-31.0203	4.6867
SAMEA2621216	-21.0484	-35.371
SAMEA2621272	-30.149	-43.2596
SAMEA2623673	34.7526	-71.2566
SAMEA2623850	36.1552	-28.9914
SAMEA2621020	-31.0264	4.68135
SAMEA2621044	-31.0203	4.6867
SAMEA2621045	-31.0203	4.6867
SAMEA2621075	-20.4034	-3.1884
SAMEA2621076	-20.4034	-3.1884
SAMEA2621221	-21.0484	-35.371
SAMEA2621222	-21.0484	-35.371
SAMEA2621277	-30.149	-43.2596
SAMEA2621278	-30.149	-43.2596
SAMN04325106	36.4828	15.6501
SAMN04325109	38.8175	25.2594
SAMN07137069	31.66	-64.16
SAMN07137070	31.66	-64.16
SAMN07137073	31.66	-64.16
SAMN07137072	31.66	-64.16
SAMN07137074	31.66	-64.16
SAMN07137066	31.66	-64.16
SAMN07137060	22.75	-158.0
SAMN07137059	22.75	-158.0
SAMN07137063	22.75	-158.0
SAMN07137120	31.66	-64.16
SAMN07137121	31.66	-64.16
SAMN07137122	31.66	-64.16
SAMN07137123	31.66	-64.16
SAMN07137054	22.75	-158.0
SAMN07137053	22.75	-158.0
SAMN07137048	22.75	-158.0
SAMN07137056	22.75	-158.0
SAMN07137005	22.75	-158.0
SAMN07137002	22.75	-158.0
SAMN07137000	22.75	-158.0
SAMN07136999	22.75	-158.0
SAMN07137006	22.75	-158.0
SAMN07137039	22.75	-158.0
SAMN07137040	22.75	-158.0
SAMN07137042	22.75	-158.0
SAMN07137044	22.75	-158.0
SAMN07137045	22.75	-158.0
SAMN07137102	31.66	-64.16
SAMN07137104	31.66	-64.16
SAMN07137105	31.66	-64.16
SAMN07137098	31.66	-64.16
SAMN07137033	22.75	-158.0
SAMN07137032	22.75	-158.0
SAMN07137035	22.75	-158.0
SAMN07137029	22.75	-158.0
SAMN07137030	22.75	-158.0
SAMN07137111	31.66	-64.16
SAMN07137113	31.66	-64.16
SAMN07137091	31.66	-64.16
SAMN07137090	31.66	-64.16
SAMN07137117	31.66	-64.16
SAMN07137116	31.66	-64.16
SAMN07137095	31.66	-64.16
SAMN07137092	31.66	-64.16
SAMN07137024	22.75	-158.0
SAMN07137023	22.75	-158.0
SAMN07137020	22.75	-158.0
SAMN07137026	22.75	-158.0
SAMN07137027	22.75	-158.0
SAMN07137082	31.66	-64.16
SAMN07137083	31.66	-64.16
SAMN07137078	31.66	-64.16
SAMN07137086	31.66	-64.16
SAMN07137087	31.66	-64.16
SAMN07137009	22.75	-158.0
SAMN07137008	22.75	-158.0
SAMN07137015	22.75	-158.0
SAMN07137012	22.75	-158.0
SAMN07136604	38.3243	-68.8755
SAMN07136605	38.3243	-68.8755
SAMN07136603	38.3243	-68.8755
SAMN07136610	37.6073	-68.3895
SAMN07136612	37.6073	-68.3895
SAMN07136881	-31.6	178.0
SAMN07136639	31.6667	-64.167
SAMN07136640	31.6667	-64.167
SAMN07136634	47.8007	-39.399
SAMN07136757	-30.0	156.0
SAMN07136756	-30.0	156.0
SAMN07136567	31.7535	-64.175
SAMN07136491	46.312	-39.658
SAMN07136492	46.312	-39.658
SAMN07136595	39.6922	-69.8629
SAMN07136596	39.6922	-69.8629
SAMN07136593	39.6922	-69.8629
SAMN07136518	9.5462	-50.4686
SAMN07136716	17.3998	-24.4998
SAMN07136532	35.4162	-66.5408
SAMN07136624	24.7143	-67.0726
SAMN07136630	22.3411	-63.5833
SAMN07136625	24.7143	-67.0726
SAMN07136553	22.333	-35.867
SAMN07136631	22.3411	-63.5833
SAMN07136684	-46.907	-47.179
SAMN07136584	27.583	-49.633
SAMN07136586	27.583	-49.633
SAMN07136587	27.583	-49.633
SAMN07136588	27.583	-49.633
SAMN07136956	-36.4495	13.2196
SAMN07136961	-39.2555	7.72506
SAMN07136962	-39.2555	7.72506
SAMN07136546	38.655	-69.1313
SAMN07136916	-35.3669	14.9064
SAMN07136915	-35.3669	14.9064
SAMN07136919	-35.3669	14.9064
SAMN07136918	-35.3669	14.9064
SAMN07136917	-35.3669	14.9064
SAMN07136920	-35.3669	14.9064
SAMN07136571	26.1369	-44.8262
SAMN07136657	-26.0867	-34.2585
SAMN07136660	-22.4732	-32.7487
SAMN07136539	24.1497	-40.2179
SAMN07136538	24.1497	-40.2179
SAMN07136533	35.4162	-66.5408
SAMN07136534	35.4162	-66.5408
SAMN07136763	33.4334	-58.0503
SAMN07136764	33.4334	-58.0503
SAMN07136564	31.7535	-64.175
SAMN07136697	-37.8305	-41.1248
SAMN07136613	37.6073	-68.3895
SAMN07136616	19.4334	-29.3832
SAMN07136493	46.312	-39.658
SAMN07136497	36.2067	-53.2681
SAMN07136496	36.2067	-53.2681
SAMN07136498	36.2067	-53.2681
SAMN07136500	36.2067	-53.2681
SAMN07136499	36.2067	-53.2681
SAMN07136793	-32.5	-172.0
SAMN07136573	26.1369	-44.8262
SAMN07136577	17.4	-24.5
SAMN07136578	17.4	-24.5
SAMN07136754	-32.5	-176.0
SAMN07136744	-30.0	167.0
SAMN07136886	-32.5	-179.303
SAMN07136647	28.0905	-67.5015
SAMN07136646	28.0905	-67.5015
SAMN07136511	34.3277	-55.4316
SAMN07136504	37.5673	-50.6855
SAMN07136506	37.5673	-50.6855
SAMN07136510	34.3277	-55.4316
SAMN07136509	34.3277	-55.4316
SAMN07136782	-30.0	175.947
SAMN07136776	-30.0	174.0
SAMN07136777	-30.0	174.0
SAMN07136743	-30.0	167.0
SAMN08390923	22.75	-158.0
SAMN08390925	31.66	-64.16
SAMN05991661	22.75	-158.0
SAMN05991688	22.75	-158.0
SAMN05991717	22.75	-158.0
SAMN05991709	22.75	-158.0
SAMN05991681	22.75	-158.0
SAMN05991695	22.75	-158.0
SAMN05991723	22.75	-158.0
SAMN05991721	22.75	-158.0
SAMN05991654	22.75	-158.0
SAMN05991730	22.75	-158.0
SAMN04579665	-37.8305	-41.1248
SAMEA2623403	6.3744	-103.0644
SAMN05422130	21.51	-23.45
SAMN05422164	-15.83	-33.41
SAMN05422165	-33.55	39.89
SAMN05422115	-29.81	82.62
SAMN05422106	-31.16	110.18
SAMN05421697	15.9087	-124.4738
SAMN05791315	28.9833	-90.8333
SAMN05791316	28.8417	-90.8333
SAMN05791319	28.7417	-91.25
SAMN05791320	28.5833	-91.25
SAMN03860270	18.58	40.743
SAMN03860260	17.662	40.905
SAMN03860276	20.525	38.781
SAMN03860282	22.046	37.929
SAMN03860294	25.772	36.116
SAMN03860288	23.604	37.054
SAMN03860300	27.897	34.507
SAMN03860295	25.772	36.116
SAMN03860264	17.996	39.799
SAMEA104408599	65.446	23.2973
SAMEA104408600	65.446	23.2973
SAMEA104408597	57.3057	20.0766
SAMEA104408612	55.5659	16.3665
SAMEA104408618	58.5849	18.2327
SAMEA104408620	57.1162	17.6642
SAMEA104408623	57.3222	20.0506
SAMEA104408625	57.3222	20.0506
SAMEA104408627	57.3222	20.0506
SAMEA104408628	57.3222	20.0506
SAMEA104408629	57.3222	20.0506
SAMEA104408630	57.3222	20.0506
SAMEA104408695	57.3228	20.0606
SAMEA104408696	57.3228	20.0606
SAMEA2619840	23.42	37.2484
SAMN05791317	28.7167	-90.8333
SAMEA2623774	34.0812	-49.8748
SAMN07136633	47.8007	-39.399
SAMN07136490	46.312	-39.658
SAMN07136545	38.655	-69.1313
SAMN07136505	37.5673	-50.6855
SAMEA4699789	42.52	3.18
SAMEA4699790	42.52	3.18
SAMN05224482	48.59166667	-123.505
SAMN05224486	48.59166667	-123.505
SAMN05224434	48.59166667	-123.505
